Código,Name,Faccao,Complexo,Pouco Expressivo
1,Ladeira dos Funcionários,CV,Caju,
2,Moreira Pinto,CV,Providencia,t
3,Morro da Providência,CV,Providencia,
4,Parque Boa Esperança (RA - Portuária),CV,Caju,
5,Parque Nossa Senhora da Penha,CV,Caju,t
6,Parque São Sebastião,CV,Caju,
7,Pedra Lisa,CV,Providencia,
8,Quinta do Caju,CV,Caju,
9,Bispo,Policia,Turano,
10,Matinha (RA - Rio Comprido),Policia,Turano,
11,Azevedo Lima,TCP,Sao Carlos,
12,São Carlos,TCP,Sao Carlos,
13,Catumbi,ADA,Mineira,
14,Morro do Escondidinho,CV,Rio Comprido,
15,Morro Santos Rodrigues,ADA,Mineira,
16,Parque Rebouças,,,
17,Paula Ramos,,,
18,Rato,ADA,Sao Carlos,
19,Santa Alexandrina,,,
20,Sumaré,Policia,Turano,
22,Vila Santa Alexandrina,,,
23,Cerro-Corá,CV,Cerro-Cora,
24,Guararapes,CV,Cerro-Cora,
25,Humaitá,,,
27,Mangueira (RA - Botafogo),Policia,Tabajaras,
28,Morro Azul,ADA,Azul,
29,Morro Santa Marta,Policia,Dona Marta,
30,Tavares Bastos,CV,Santo Amaro,
31,Vila Cândido,CV,Cerro-Cora,
1103,Rua Vale do Paraíso,,,
1099,"Rua Camatia, nº 241",,,
32,Vila da Imaculada Conceição,CV,Cerro-Cora,
33,Vila Pereira da Silva,CV,Pereirao,
34,Vila Santo Amaro,CV,Santo Amaro,
35,Babilônia,Policia,Babilonia,
36,Chapéu Mangueira,Policia,Babilonia,
37,Ladeira dos Tabajaras,Policia,Tabajaras,
38,Morro dos Cabritos,Policia,Cabritos,
39,Pavão-Pavãozinho,Policia,Ipanema,
40,Vila Benjamim Constant,Policia,Babilonia,
41,Chácara do Céu,CV,Rocinha,
42,Morro do Cantagalo,Policia,Ipanema,
43,Rocinha,CV,Rocinha,
45,Vidigal,CV,Vidigal,
46,Vila Parque da Cidade,CV,Rocinha,
47,Barreira do Vasco,CV,Barreira do Vasco,
48,Conjunto Ataulfo Alves,,,
49,Rua Ferreira de Araújo,,,
50,Mangueira (RA - São Cristóvão),CV,Mangueira,
51,Marechal Jardim,CV,Tuiuti,
52,Morro dos Telégrafos,CV,Mangueira,
53,Parque Alegria,CV,Caju,
54,Parque Candelária,CV,Mangueira,
55,Parque dos Mineiros,CV,Tuiuti,
56,Parque Herédia de Sá,CV,Arara,
57,Parque Horácio Cardoso Franco,CV,Arara,
58,Parque Vitória,CV,Caju,
60,Tuiuti,CV,Tuiuti,
61,Vila Arará,CV,Arara,
62,Borel,Policia,Borel,
63,Coréia (RA - Tijuca),,,
64,Doutor Catrambi,,,
65,Estrada do Tijuaçu,,,
66,França Junior,Policia,Andarai,
67,Indiana,Policia,Borel,
68,Mata Machado,,,
69,Morro da Casa Branca,TCP,Casa Branca,
70,Morro do Chacrinha,Policia,Turano,
71,Morro da Formiga,Policia,Formiga,
72,Morro da Liberdade,Policia,Turano,
73,Morro do Bananal,Policia,Borel,
74,Salgueiro,Policia,Salgueiro,
75,Arrelia,Policia,Andarai,
76,Borda do Mato,Policia,Andarai,
77,Buraco Quente,Policia,Andarai,
78,Jamelão,Policia,Andarai,
79,Morro do Cruz,Policia,Andarai,
80,Morro dos Macacos,TCP,Macacos,
81,Nova Divinéia,Policia,Andarai,
82,Parque João Paulo II,Policia,Andarai,
83,Parque Vila Isabel,ADA,Macacos,
84,Baixa do Sapateiro,TCP,Mare,
85,Chp-2,CV,Manguinhos,
86,Igreja Nossa Senhora da Conceição,,,
87,Itararé,CV,Alemao,
88,Joana Nascimento,TCP,Mare,t
89,Joaquim de Queiróz,CV,Alemao,
90,Parque Maré,CV,Mare,
91,Morro da Baiana,CV,Alemao,
92,Morro do Adeus,CV,Adeus,
93,Morro do Alemão,CV,Alemao,
95,Morro do Piancó,CV,Adeus,
97,Paraibuna,TCP,Mare,
96,Nova Holanda,CV,Mare,
98,Parque Carlos Chagas,CV,Manguinhos,
99,Parque Félix Ferreira,,,
100,Parque João Goulart,CV,Manguinhos,
101,Parque Oswaldo Cruz,CV,Manguinhos,
102,Parque Proletário Monsenhor Brito,,,
103,Parque Roquete Pinto,Milicia,Ramos,
104,Parque Rubens Vaz,CV,Mare,
105,Parque União,CV,Mare,
106,Ramos,Milicia,Ramos,
107,Tenente Pimentel,CV,Penha,t
108,Timbau,TCP,Mare,
109,Vila Cruzeiro,CV,Penha,
110,Vila Residencial Darcy Vargas,,,
111,Vila Santo Antônio (RA - Ramos),,,
112,Vila Turismo,CV,Manguinhos,
113,Bairro Proletário do Dique,CV,Jardim America,
114,Brás de Pina,CV,Cidade Alta,
115,Centro Social Marcílio Dias,CV,Kelson,
116,Cordovil,CV,Cidade Alta,
117,Dourados,,,
118,Mangueirinha,Milicia,Quitungo,
119,Morro da Caixa d'Água (RA - Penha),CV,Penha,
120,Morro da Fé,CV,Penha,
121,Morro da Guaíba,Milicia,Quitungo,
122,Morro do Caracol,CV,Penha,
123,Morro do Sereno,CV,Penha,
124,Parque Furquim Mendes,CV,Jardim America,
125,Parque Jardim Beira Mar,TCP,Parada de Lucas,
126,Parque Proletário de Cordovil,CV,Cidade Alta,
127,Parque Proletário de Vigário Geral,TCP,Vigario Geral,
128,Parque Proletário do Grotão,CV,Penha,
129,"Rua Frey Gaspar, nº 279",CV,Penha,
130,Rua Laudelino Freire,CV,Penha,
131,Vila Cambucí,CV,Cidade Alta,
132,Rua Rodolfo Chambelland,CV,Jardim America,
133,Serra Pelada,CV,Cidade Alta,
134,Te Contei,TCP,Parada de Lucas,
135,Vila Proletária da Penha,CV,Penha,
136,Belém-Belém,Milicia,Belem-Belem,
137,Céu Azul,CV,Ceu Azul,
138,Chácara de Del Castilho,,,
139,Conjunto Residencial Fernão Cardin,Milicia,Belem-Belem,
140,Dois de Maio,CV,,
141,Jacarezinho,CV,Jacarezinho,
142,Marlene,,,
143,Morro da Caixa d'Água (RA - Méier),TCP,Urubu,
144,Morro do Engenho da Rainha,CV,Engenho da Rainha,
145,Morro do Trajano,,,
146,Morro do Urubu,TCP,Urubu,
147,Morro das Palmeiras,CV,Alemao,
148,Nova Brasília (RA - Alemão),CV,Alemao,
149,Parque Proletário Águia de Ouro,Milicia,Belem-Belem,
150,Parque Proletário Engenho da Rainha,,,
151,Parque União de Del Castilho,Milicia,Belem-Belem,
152,Pica Pau Amarelo,CV,Jacarezinho,
153,"Praça Marimbá, 60 (Fundos)",,,
154,Relicário,CV,Alemao,
155,Rua Itabirito,TCP,Urubu,t
156,"Rua Matinoré, nº 163 (Fundos)",,,
157,Rua Pereira Pinto,CV,Engenho da Rainha,t
158,Seu Pedro,,,
159,Tautá,CV,Jacarezinho,
160,Teixeira Bastos,,,
161,Vila Caramuru,TCP,Urubu,
162,Vila União (RA - São Cristóvão),CV,Manguinhos,
163,Bairro Ouro Preto,CV,Camarista Meier,
164,Barro Preto,CV,Lins,
165,Barro Vermelho,CV,Lins,
166,Beco do Vitorino,,,
168,Cachoeirinha,CV,Lins,
169,"Cardoso de Mesquita, nº 28",,,
170,Morro dos Mineiros,TCP,Urubu,
171,Dona Francisca,CV,Lins,
172,Joaquim Méier,,,
173,Morro da Bacia,CV,Encontro,
174,Morro da Cachoeira Grande,CV,Lins,
175,Morro da Matriz,CV,Matriz,
176,Morro São João,CV,Matriz,
177,Morro do Amor,CV,Lins,
178,Morro do Céu,CV,Camarista Meier,
179,Morro do Encontro,CV,Encontro,
180,Morro Nossa Senhora da Guia,CV,Lins,
181,Morro do Queto,CV,Matriz,
182,Pretos Forros,CV,Camarista Meier,
183,"Rua Camarista Meier, nº 914",CV,Camarista Meier,
184,Grotão de Costa Barros,,,
185,Santa Terezinha,CV,Lins,
186,Santos Titara,,,
187,Serra do Padilha,,,
